parent_ids,child_ids,times
42115,804,50
95566,805,64
94304,806,49
16851,807,50
809,808,47
38834,809,44
809,811,50
23785,812,51
36733,813,32
75849,815,45
44170,816,46
25843,817,52
21503,818,46
32798,819,48
42749,820,57
819,821,52
88580,822,53
13309,823,53
60117,824,31
50826,827,34
62520,829,47
82166,830,53
2514,831,49
15136,832,48
27299,833,64
59481,834,50
73336,835,38
92821,836,54
57658,837,37
11057,838,47
62191,839,58
839,840,61
66319,841,53
11702,842,56
41745,843,41
846,844,53
846,845,53
843,846,48
59481,847,48
21761,848,55
75799,849,43
43327,851,48
37113,852,45
17354,854,47
25809,855,51
85515,856,41
52383,857,55
861,858,59
861,859,60
7146,860,45
34821,861,56
68147,862,43
10800,863,37
725,864,45
65321,866,59
26001,867,49
11037,868,43
867,869,55
24855,870,54
49278,871,56
38514,873,64
80310,876,55
13550,879,48
27225,880,69
53805,881,51
43062,882,57
71027,883,71
91091,884,44
884,885,51
59637,886,45
44643,887,40
86154,888,53
890,889,65
76419,890,60
13006,891,45
78427,892,44
894,893,41
50080,894,34
67648,895,56
93557,896,51
93623,897,43
82444,898,77
900,899,45
60272,900,37
52509,901,65
38589,903,51
32742,904,48
4485,905,47
907,906,50
71353,907,45
17216,908,41
55766,909,42
36828,910,37
46034,911,49
95515,913,54
33319,914,55
23785,915,49
918,917,39
12202,918,33
78657,919,42
29561,920,49
26597,921,57
33065,922,39
922,923,43
922,924,42
28233,925,51
29843,926,31
16795,927,51
91876,930,53
53197,931,56
34134,932,53
67604,933,57
28680,934,30
45729,935,39
58451,936,45
33987,937,53
90846,938,54
78975,940,60
15816,942,51
18285,943,48
18961,944,37
66433,945,52
18464,946,55
91977,947,46
4360,948,39
47316,949,51
949,950,56
68722,951,55
953,952,53
22243,953,47
80419,955,51
29911,957,47
72979,958,63
3005,959,64
958,960,66
963,961,51
6499,963,43
88273,964,38
966,965,55
35995,966,52
35730,968,48
94989,969,50
86678,971,44
973,972,55
28526,973,47
72652,974,51
49086,975,44
82014,976,47
12953,979,45
30690,980,53
8539,981,65
16251,983,61
43116,987,53
5434,988,69
61130,990,49
35903,991,46
52102,992,42
44625,993,37
993,994,43
89659,995,52
60106,996,51
17776,997,45
9120,998,34
73059,999,54
97897,1000,37
82300,1001,50
29489,1002,63
84011,1003,58
65561,1004,38
1008,1005,50
67127,1006,50
1004,1007,45
1004,1008,41
1005,1009,58
15730,1010,44
40376,1011,60
64324,1012,43
8238,1013,47
53083,1014,43
62001,1015,54
7844,1016,43
4306,1017,45
87003,1019,55
93206,1020,42
1020,1021,46
1020,1022,48
1020,1023,47
97804,1024,42
34446,1025,44
1027,1026,42
72474,1027,37
2662,1028,46
5179,1029,47
1028,1030,49
1029,1031,50
1029,1032,55
86709,1034,43
58008,1035,52
2337,1036,46
81882,1037,64
77233,1038,45
33813,1039,48
73359,1040,50
56978,1041,28
1043,1042,52
95968,1043,48
51165,1045,27
1045,1046,34
1046,1047,37
1046,1048,43
48632,1049,43
25181,1050,42
15699,1051,56
45046,1052,47
47919,1053,53
64071,1054,44
65983,1056,49
5962,1057,45
69551,1058,38
7937,1059,50
88154,1060,58
35840,1062,43
94738,1063,40
65844,1064,46
1063,1066,47
1398,1068,50
22706,1069,33
1071,1070,60
79383,1071,54
72688,1072,46
2999,1073,52
95148,1074,28
71785,1075,33
1075,1076,38
1078,1077,61
91829,1078,55
89683,1079,52
59233,1080,47
62588,1081,52
69006,1082,33
1084,1083,44
44643,1084,41
1084,1085,44
1084,1086,44
22878,1087,56
44376,1088,52
35391,1089,53
1089,1090,58
97715,1094,56
91146,1095,57
74792,1096,49
1096,1097,59
3105,1098,44
76747,1099,53
68211,1100,49
73298,1101,61
1103,1102,44
46816,1103,40
44811,1104,50
5528,1105,57
23811,1106,53
77968,1107,53
45879,1108,43
1108,1109,50
1107,1110,57
77393,1111,47
27530,1112,52
3914,1114,50
80998,1115,55
17414,1116,39
77597,1117,59
85522,1118,46
17387,1119,38
2023,1120,31
1120,1121,35
60322,1123,73
85968,1124,59
42464,1125,40
3026,1127,49
1130,1129,53
81581,1130,47
81384,1131,48
28003,1133,51
9765,1134,55
30475,1135,55
336,1136,37
22195,1138,64
46985,1141,59
59459,1142,57
1144,1143,36
77365,1144,32
85323,1145,55
53197,1147,53
1149,1148,36
21137,1149,32
83246,1150,27
1154,1152,54
1155,1153,54
18591,1154,49
87498,1155,51
72356,1156,63
81538,1158,57
13382,1159,47
1161,1160,51
62621,1161,46
1161,1162,49
91127,1163,35
89697,1164,43
97906,1165,43
68018,1166,48
6334,1167,41
13676,1168,39
30880,1169,41
51800,1170,44
57735,1171,70
77237,1172,47
5233,1173,56
70503,1174,57
1179,1176,51
72496,1177,49
83405,1178,64
49026,1179,44
83324,1180,50
97016,1181,52
14865,1182,47
49732,1184,34
37507,1185,40
34848,1187,47
75031,1188,53
98847,1189,43
14369,1190,53
87797,1191,48
1190,1192,56
43567,1193,58
54095,1194,60
96781,1195,64
91398,1196,54
77130,1197,41
1197,1198,50
91927,1200,42
7634,1201,46
7254,1202,51
23979,1203,52
90928,1204,59
71629,1205,42
81524,1207,51
30516,1208,50
51638,1210,48
1212,1211,51
58480,1212,46
31795,1213,54
21632,1214,41
1216,1215,38
68560,1216,35
61414,1217,58
18649,1218,56
68650,1219,41
92033,1220,41
11782,1225,47
76336,1227,63
69090,1228,50
1228,1229,57
42854,1230,51
84296,1231,54
38287,1232,42
1231,1233,60
31440,1236,46
33119,1238,32
1238,1239,40
1238,1240,37
1238,1241,38
42308,1242,63
1238,1243,37
97508,1244,44
85445,1245,52
81975,1246,53
52528,1247,50
72089,1248,54
81816,1249,61
75493,1250,59
15672,1252,19
57596,1253,39
1256,1255,41
64098,1256,34
8238,1258,48
38478,1259,54
12008,1260,40
36391,1262,53
57251,1263,46
1263,1264,52
52215,1265,48
3861,1266,46
49772,1267,45
66182,1268,46
87859,1269,41
15427,1270,49
41157,1271,43
80210,1272,39
1274,1273,43
70189,1274,39
62520,1275,44
1275,1276,49
1276,1277,54
78773,1278,33
2629,1279,46
65420,1282,52
58106,1284,61
10231,1285,49
89001,1286,43
1285,1287,52
76212,1288,53
33051,1289,47
51487,1290,41
49105,1291,53
48187,1292,75
82057,1293,43
68788,1297,67
28879,1298,46
41199,1299,59
3270,1300,40
41819,1301,52
7719,1302,55
93671,1303,48
30020,1304,54
49073,1306,47
5890,1307,55
34173,1308,56
23811,1309,49
74926,1310,53
73724,1311,47
291,1312,54
71657,1313,58
24854,1314,54
59515,1315,50
26423,1316,49
6318,1317,60
51215,1319,55
1322,1320,48
41518,1321,57
50900,1322,43
3164,1323,34
56982,1324,42
54866,1325,53
89048,1327,46
66705,1328,28
77705,1329,56
1328,1330,34
3725,1331,45
1328,1332,33
88143,1333,56
73645,1334,54
34744,1335,56
89736,1337,55
39420,1338,62
16655,1339,64
50686,1340,55
83281,1341,40
14642,1343,44
1343,1344,50
1343,1345,49
66277,1346,50
1346,1347,55
37445,1348,41
86286,1349,38
75512,1350,37
26595,1351,53
85956,1352,49
19621,1353,61
38776,1354,58
1351,1355,59
1357,1356,55
1358,1357,49
7683,1358,44
1746,1359,47
75756,1362,39
27364,1363,50
1363,1364,58
82805,1365,49
58787,1366,51
58056,1367,48
51319,1368,60
29306,1371,53
6426,1372,39
50570,1373,46
1795,1374,53
2835,1375,52
37957,1376,49
49544,1377,41
84597,1378,41
1510,1379,49
42566,1381,49
55460,1382,50
7048,1383,56
1385,1384,44
76752,1385,42
65801,1386,51
66603,1387,56
50670,1388,52
12337,1389,31
1387,1390,62
68975,1391,48
11699,1392,52
75046,1393,45
71674,1394,72
38703,1395,44
7935,1396,57
71515,1397,46
68178,1398,46
1402,1400,52
1403,1401,53
282,1402,47
1402,1403,51
1401,1404,59
1406,1405,34
20515,1406,30
95678,1407,59
87064,1408,54
1410,1409,64
50398,1410,57
9897,1411,48
31128,1412,48
25266,1413,28
40023,1414,56
44124,1415,49
17226,1416,26
82675,1417,51
523,1418,55
21049,1421,54
70806,1423,41
1425,1424,41
64706,1425,35
1425,1426,39
1425,1427,37
1427,1428,42
1428,1429,46
57427,1430,57
